group_id,quarter_issue_date_dt,Treated,Count,Post,log_Count
A61C,2016-06-30,0,2,1,0.6931471805599453
A61C,2016-06-30,1,1,1,0.0
A61C,2016-09-30,0,3,1,1.0986122886681098
A61C,2016-09-30,1,1,1,0.0
A61C,2016-12-31,0,3,1,1.0986122886681098
A61F,2012-03-31,0,3,0,1.0986122886681098
A61F,2012-06-30,0,5,0,1.6094379124341003
A61F,2012-06-30,1,1,0,0.0
A61F,2012-09-30,0,3,0,1.0986122886681098
A61F,2012-09-30,1,1,0,0.0
A61F,2012-12-31,0,4,0,1.3862943611198906
A61F,2012-12-31,1,1,0,0.0
A61F,2013-03-31,0,4,0,1.3862943611198906
A61F,2013-06-30,0,2,0,0.6931471805599453
A61F,2013-09-30,0,6,0,1.791759469228055
A61F,2013-12-31,0,2,0,0.6931471805599453
A61F,2014-03-31,0,5,0,1.6094379124341003
A61F,2014-06-30,0,3,1,1.0986122886681098
A61F,2014-06-30,1,1,1,0.0
A61F,2014-09-30,0,5,1,1.6094379124341003
A61F,2014-09-30,1,1,1,0.0
A61F,2014-12-31,0,3,1,1.0986122886681098
A61F,2014-12-31,1,2,1,0.6931471805599453
A61F,2015-03-31,0,1,1,0.0
A61F,2015-03-31,1,1,1,0.0
A61F,2015-06-30,0,3,1,1.0986122886681098
A61F,2015-09-30,0,4,1,1.3862943611198906
A61F,2015-12-31,0,3,1,1.0986122886681098
A61F,2015-12-31,1,1,1,0.0
A61F,2016-03-31,0,3,1,1.0986122886681098
A61F,2016-03-31,1,1,1,0.0
A61F,2016-06-30,0,1,1,0.0
A61F,2016-06-30,1,1,1,0.0
A61F,2016-09-30,0,2,1,0.6931471805599453
A61F,2016-12-31,0,7,1,1.9459101490553132
A61F,2016-12-31,1,1,1,0.0
A61G,2012-03-31,0,1,0,0.0
A61G,2012-06-30,0,1,0,0.0
A61G,2012-09-30,0,2,0,0.6931471805599453
A61G,2013-06-30,0,2,0,0.6931471805599453
A61G,2013-12-31,0,3,0,1.0986122886681098
A61G,2014-06-30,0,2,1,0.6931471805599453
A61G,2014-09-30,0,1,1,0.0
A61G,2014-12-31,0,1,1,0.0
A61G,2015-06-30,0,2,1,0.6931471805599453
A61G,2015-09-30,0,2,1,0.6931471805599453
A61G,2015-12-31,0,1,1,0.0
A61G,2016-03-31,0,1,1,0.0
A61G,2016-06-30,0,2,1,0.6931471805599453
A61G,2016-09-30,0,1,1,0.0
A61G,2016-12-31,0,1,1,0.0
A61H,2012-06-30,0,2,0,0.6931471805599453
A61H,2012-09-30,0,1,0,0.0
A61H,2013-06-30,0,1,0,0.0
A61H,2013-12-31,0,2,0,0.6931471805599453
A61H,2014-03-31,0,1,0,0.0
A61H,2014-06-30,0,2,1,0.6931471805599453
A61H,2014-09-30,0,1,1,0.0
A61H,2014-12-31,0,1,1,0.0
A61H,2015-06-30,0,1,1,0.0
A61H,2015-09-30,0,3,1,1.0986122886681098
A61H,2015-12-31,0,1,1,0.0
A61H,2016-03-31,0,1,1,0.0
A61H,2016-09-30,0,1,1,0.0
A61H,2016-12-31,0,2,1,0.6931471805599453
A61J,2012-03-31,0,1,0,0.0
A61J,2012-06-30,1,1,0,0.0
A61J,2012-09-30,1,1,0,0.0
A61J,2013-03-31,0,4,0,1.3862943611198906
A61J,2013-03-31,1,1,0,0.0
A61J,2013-06-30,0,2,0,0.6931471805599453
A61J,2013-09-30,0,1,0,0.0
A61J,2013-09-30,1,1,0,0.0
A61J,2013-12-31,0,3,0,1.0986122886681098
A61J,2013-12-31,1,1,0,0.0
A61J,2014-03-31,0,2,0,0.6931471805599453
A61J,2014-06-30,0,2,1,0.6931471805599453
A61J,2014-09-30,0,3,1,1.0986122886681098
A61J,2014-12-31,0,4,1,1.3862943611198906
A61J,2015-03-31,0,2,1,0.6931471805599453
A61J,2015-06-30,0,2,1,0.6931471805599453
A61J,2015-06-30,1,1,1,0.0
A61J,2015-09-30,0,2,1,0.6931471805599453
A61J,2015-09-30,1,1,1,0.0
A61J,2015-12-31,0,4,1,1.3862943611198906
A61J,2016-03-31,0,3,1,1.0986122886681098
A61J,2016-06-30,0,4,1,1.3862943611198906
A61J,2016-09-30,0,3,1,1.0986122886681098
A61J,2016-12-31,0,2,1,0.6931471805599453
A61J,2016-12-31,1,1,1,0.0
A61K,2012-06-30,0,1,0,0.0
A61K,2012-09-30,0,1,0,0.0
A61K,2012-09-30,1,1,0,0.0
A61K,2012-12-31,0,2,0,0.6931471805599453
A61K,2012-12-31,1,1,0,0.0
A61K,2013-03-31,0,1,0,0.0
A61K,2013-06-30,0,2,0,0.6931471805599453
A61K,2013-09-30,0,1,0,0.0
A61K,2013-09-30,1,1,0,0.0
A61K,2013-12-31,0,1,0,0.0
A61K,2014-03-31,0,1,0,0.0
A61K,2014-06-30,0,1,1,0.0
A61K,2014-06-30,1,2,1,0.6931471805599453
A61K,2014-09-30,0,2,1,0.6931471805599453
A61K,2014-09-30,1,2,1,0.6931471805599453
A61K,2014-12-31,1,1,1,0.0
A61K,2015-03-31,1,2,1,0.6931471805599453
A61K,2015-06-30,0,2,1,0.6931471805599453
A61K,2015-06-30,1,1,1,0.0
A61K,2015-09-30,0,1,1,0.0
A61K,2015-09-30,1,1,1,0.0
A61K,2015-12-31,1,1,1,0.0
A61K,2016-03-31,0,2,1,0.6931471805599453
A61K,2016-03-31,1,1,1,0.0
A61K,2016-06-30,0,1,1,0.0
A61K,2016-09-30,1,2,1,0.6931471805599453
A61K,2016-12-31,0,2,1,0.6931471805599453
A61K,2016-12-31,1,1,1,0.0
A61L,2012-03-31,0,1,0,0.0
A61L,2012-06-30,0,4,0,1.3862943611198906
A61L,2012-09-30,1,1,0,0.0
A61L,2013-12-31,0,1,0,0.0
A61L,2014-03-31,0,1,0,0.0
A61L,2014-06-30,0,1,1,0.0
A61L,2014-12-31,0,1,1,0.0
A61L,2015-03-31,1,1,1,0.0
A61L,2015-06-30,0,1,1,0.0
A61L,2015-06-30,1,1,1,0.0
A61L,2016-03-31,0,1,1,0.0
A61L,2016-09-30,0,2,1,0.6931471805599453
A61L,2016-12-31,0,4,1,1.3862943611198906
A61M,2012-03-31,0,2,0,0.6931471805599453
A61M,2012-06-30,0,2,0,0.6931471805599453
A61M,2012-06-30,1,1,0,0.0
A61M,2012-09-30,0,1,0,0.0
A61M,2012-12-31,0,5,0,1.6094379124341003
A61M,2012-12-31,1,1,0,0.0
A61M,2013-03-31,0,1,0,0.0
A61M,2013-06-30,0,3,0,1.0986122886681098
A61M,2013-06-30,1,1,0,0.0
A61M,2013-09-30,0,1,0,0.0
A61M,2013-09-30,1,3,0,1.0986122886681098
A61M,2013-12-31,0,4,0,1.3862943611198906
A61M,2013-12-31,1,1,0,0.0
A61M,2014-03-31,0,2,0,0.6931471805599453
A61M,2014-06-30,0,4,1,1.3862943611198906
A61M,2014-09-30,0,2,1,0.6931471805599453
A61M,2014-12-31,0,3,1,1.0986122886681098
A61M,2014-12-31,1,1,1,0.0
A61M,2015-03-31,0,4,1,1.3862943611198906
A61M,2015-03-31,1,1,1,0.0
